weight,name,tags,path
0,HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I001.json
0,Under 18 years in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I002.json
0,With health insurance coverage Under 18 years Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I003.json
0,No health insurance coverage Under 18 years Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I004.json
0,18 to 64 years in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I005.json
0,With health insurance coverage 18 to 64 years Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I006.json
0,No health insurance coverage 18 to 64 years Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I007.json
0,65 years and over in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I008.json
0,With health insurance coverage 65 years and over Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I009.json
0,No health insurance coverage 65 years and over Health Insurance Coverage Status in HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001I/C27001I010.json
